Aspek,Nomor Butir,Rata-rata V,Keterangan
Kesesuaian tujuan dan ruang lingkup,1-4,,
Akurasi dan kelengkapan isi,5-12,,
Keruntutan dan kejelasan penyajian,13-18,,
Kesesuaian materi pendukung,19-22,,
Keseluruhan instrumen,1-22,,
