Aspek,Jumlah Butir,Rata-rata V,Kategori,Keputusan
Kesesuaian tujuan dan ruang lingkup,4,0.92,Validitas tinggi,Valid
Akurasi dan kelengkapan isi,8,0.92,Validitas tinggi,Valid
Keruntutan dan kejelasan penyajian,6,0.92,Validitas tinggi,Valid
Kesesuaian materi pendukung,4,0.92,Validitas tinggi,Valid
Keseluruhan instrumen,22,0.92,Validitas tinggi,Valid
