
   INFO  Server running on [http://127.0.0.1:8099].  

  Press Ctrl+C to stop the server
  2026-03-05 09:37:13 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.18ms
  2026-03-05 09:37:13 /build/assets/app-Cob1zxeE.css ...................................................... ~ 12.75ms
  2026-03-05 09:37:13 /storage/cms/announcements/cms_announcement_cover_20260224_0005.png .................. ~ 0.22ms
  2026-03-05 09:37:13 /build/assets/tiptap-editor-BEIQFI6w.js .............................................. ~ 0.15ms
  2026-03-05 09:37:13 /build/assets/index-Bw3-YJgB.js ...................................................... ~ 8.60ms
  2026-03-05 09:37:13 /icons/unila.png ..................................................................... ~ 0.47ms
  2026-03-05 09:37:13 /icons/logo.png ...................................................................... ~ 7.73ms
  2026-03-05 09:37:14 /admin/cms/blogs ........................................................................ ~ 6dt
  2026-03-05 09:37:20 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.36ms
  2026-03-05 09:37:20 /build/assets/app-Cob1zxeE.css ....................................................... ~ 8.81ms
  2026-03-05 09:37:20 /icons/logo.png ...................................................................... ~ 0.41ms
  2026-03-05 09:37:20 /icons/unila.png .................................................................... ~ 16.71ms
  2026-03-05 09:37:21 /admin/cms/blogs/create ................................................................. ~ 6dt
  2026-03-05 09:37:27 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.33ms
  2026-03-05 09:37:27 /build/assets/app-Cob1zxeE.css ...................................................... ~ 12.98ms
  2026-03-05 09:37:27 /build/assets/tiptap-editor-BEIQFI6w.js .............................................. ~ 0.84ms
  2026-03-05 09:37:27 /build/assets/index-Bw3-YJgB.js ...................................................... ~ 5.54ms
  2026-03-05 09:37:27 /icons/logo.png ...................................................................... ~ 0.27ms
  2026-03-05 09:37:27 /icons/unila.png ..................................................................... ~ 9.14ms
  2026-03-05 09:37:28 /admin/cms/blogs/2/edit ................................................................ ~ 16dt
  2026-03-05 09:37:45 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.20ms
  2026-03-05 09:37:45 /build/assets/app-DpmNv1u0.js ........................................................ ~ 5.87ms
  2026-03-05 09:37:45 /storage/cms/blogs/cms_blog_cover_20260224_0005.png .................................. ~ 6.80ms
  2026-03-05 09:37:45 /icons/logo.png ...................................................................... ~ 0.34ms
  2026-03-05 09:37:45 /icons/unila.png .................................................................... ~ 78.26ms
  2026-03-05 09:37:45 /build/assets/tiptap-editor-BEIQFI6w.js .............................................. ~ 0.63ms
  2026-03-05 09:37:45 /build/assets/index-Bw3-YJgB.js ...................................................... ~ 0.16ms
  2026-03-05 09:37:46 /admin/cms/categories ................................................................... ~ 9dt
  2026-03-05 09:37:55 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.47ms
  2026-03-05 09:37:55 /build/assets/app-Cob1zxeE.css ...................................................... ~ 15.80ms
  2026-03-05 09:37:56 /icons/unila.png ..................................................................... ~ 1.50ms
  2026-03-05 09:37:56 /icons/logo.png ...................................................................... ~ 2.47ms
  2026-03-05 09:37:57 /admin/cms/categories/create ............................................................ ~ 5dt
  2026-03-05 09:38:02 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.30ms
  2026-03-05 09:38:02 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.44ms
  2026-03-05 09:38:02 /icons/logo.png ...................................................................... ~ 0.27ms
  2026-03-05 09:38:02 /icons/unila.png .................................................................... ~ 11.34ms
  2026-03-05 09:38:03 /admin/cms/categories/12/edit ........................................................... ~ 5dt
  2026-03-05 09:38:08 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.26ms
  2026-03-05 09:38:08 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.11ms
  2026-03-05 09:38:09 /icons/logo.png ...................................................................... ~ 0.25ms
  2026-03-05 09:38:09 /icons/unila.png ..................................................................... ~ 8.26ms
  2026-03-05 09:38:10 /admin/cms/hero ......................................................................... ~ 7dt
  2026-03-05 09:38:18 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.21ms
  2026-03-05 09:38:18 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.92ms
  2026-03-05 09:38:18 /storage/cms/hero/cms_hero_20260224_0002.png ........................................ ~ 12.79ms
  2026-03-05 09:38:18 /icons/unila.png ..................................................................... ~ 0.18ms
  2026-03-05 09:38:18 /icons/logo.png ...................................................................... ~ 0.19ms
  2026-03-05 09:38:19 /admin/cms/settings ..................................................................... ~ 7dt
  2026-03-05 09:38:27 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.26ms
  2026-03-05 09:38:27 /build/assets/app-Cob1zxeE.css ....................................................... ~ 5.87ms
  2026-03-05 09:38:27 /build/assets/tiptap-editor-BEIQFI6w.js .............................................. ~ 0.34ms
  2026-03-05 09:38:27 /build/assets/index-Bw3-YJgB.js ...................................................... ~ 6.43ms
  2026-03-05 09:38:27 /icons/logo.png .................................................................... ~ 117.53ms
  2026-03-05 09:38:27 /icons/unila.png ................................................................... ~ 129.34ms
  2026-03-05 09:38:28 /admin/dashboard ........................................................................ ~ 3dt
  2026-03-05 09:38:32 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.28ms
  2026-03-05 09:38:32 /build/assets/app-Cob1zxeE.css ....................................................... ~ 6.67ms
  2026-03-05 09:38:32 /icons/logo.png ...................................................................... ~ 0.46ms
  2026-03-05 09:38:32 /icons/unila.png ..................................................................... ~ 9.63ms
  2026-03-05 09:38:33 /admin/format-nomor ..................................................................... ~ 9dt
  2026-03-05 09:38:43 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.17ms
  2026-03-05 09:38:43 /build/assets/app-Cob1zxeE.css ....................................................... ~ 7.00ms
  2026-03-05 09:38:43 /icons/logo.png .................................................................... ~ 506.62ms
  2026-03-05 09:38:43 /icons/unila.png ................................................................... ~ 644.21ms
  2026-03-05 09:38:44 /admin/format-nomor/create .............................................................. ~ 7dt
  2026-03-05 09:38:51 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.18ms
  2026-03-05 09:38:52 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.19ms
  2026-03-05 09:38:52 /icons/logo.png ...................................................................... ~ 0.42ms
  2026-03-05 09:38:52 /icons/unila.png ................................................................... ~ 182.35ms
  2026-03-05 09:38:53 /admin/format-nomor/10 .................................................................. ~ 4dt
  2026-03-05 09:38:57 /admin/format-nomor/10/edit ............................................................. ~ 7dt
  2026-03-05 09:39:04 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.28ms
  2026-03-05 09:39:04 /build/assets/app-Cob1zxeE.css ...................................................... ~ 62.38ms
  2026-03-05 09:39:05 /icons/logo.png ...................................................................... ~ 0.52ms
  2026-03-05 09:39:05 /icons/unila.png .................................................................... ~ 19.73ms
  2026-03-05 09:39:06 /admin/format-nomor/10/edit ............................................................. ~ 2dt
  2026-03-05 09:39:08 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.57ms
  2026-03-05 09:39:08 /build/assets/app-Cob1zxeE.css ...................................................... ~ 20.18ms
  2026-03-05 09:39:08 /icons/logo.png ...................................................................... ~ 0.41ms
  2026-03-05 09:39:08 /icons/unila.png ................................................................... ~ 187.00ms
  2026-03-05 09:39:09 /admin/jurusan .......................................................................... ~ 9dt
  2026-03-05 09:39:19 /build/assets/app-Cob1zxeE.css ....................................................... ~ 0.20ms
  2026-03-05 09:39:19 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.18ms
  2026-03-05 09:39:20 /icons/unila.png ..................................................................... ~ 0.23ms
  2026-03-05 09:39:20 /icons/logo.png ..................................................................... ~ 47.83ms
  2026-03-05 09:39:21 /admin/jurusan/create ................................................................... ~ 9dt
